Inglese,Italiano
finally,finalmente
chuckles,Ride
fast,veloce
cold,freddo
seem,sembrare
laughing,ridendo
words,parole
hospital,Ospedale
street,strada
hang,appendere
dance,danza
meeting,riunione
till,fino
others,altri
catch,catturare
follow,Seguire
sense,senso
sex,sesso
lie,menzogna
evening,sera
master,maestro
known,conosciuto
dream,sogno
write,Scrivi
million,milione
voice,voce
sweet,dolce
rather,piuttosto
felt,provato
sign,cartello
lucky,fortunato
somewhere,in qualche luogo
bet,scommessa
o,o
jesus,Gesù
longer,più a lungo
calling,chiamata
worked,lavorato
quiet,tranquillo
looked,guardato
less,meno
pull,tiro
beat,colpo
careful,attento
coffee,caffè
return,Restituzione
secret,segreto
weeks,settimane
weren,non
date,Data
seeing,vedendo
fall,cade
given,dato
ooh,ooh
fault,colpa
straight,dritto
takes,prende
song,canzone
future,futuro
gentlemen,gentiluomini
loved,amato
changed,cambiato
road,strada
calm,calma
wonderful,meraviglioso
mad,pazzo
turned,trasformato
drop,gocciolare
ladies,le signore
learn,imparare
step,fare un passo
absolutely,assolutamente
early,presto
explain,spiegare
clean,pulito
piece,pezzo
yesterday,ieri
throw,gettare
picture,immagine
land,sbarcare
feet,piedi
wonder,meraviglia
questions,domande
speaking,A proposito di
worth,di valore
darling,tesoro
dude,tipo
giving,dando
president,Presidente
eye,occhio
quick,Presto
moving,in movimento
figure,figura
state,stato
strong,forte
sam,Sam
none,nessuno
amazing,Stupefacente
ones,quelli
works,lavori
act,atto
needed,necessario
weird,strano
law,legge
worried,preoccupato
report,rapporto
goodbye,arrivederci
missing,mancante
choice,scelta
happening,in corso
chief,capo
wedding,nozze
strange,strano
general,generale
pain,dolore
am,sono
kidding,prendere in giro
decided,deciso
ya,ya
pass,passaggio
tired,stanco
class,classe
officer,ufficiale
kept,tenuto
wake,veglia
worse,peggio
busy,occupato
eh,eh
mistake,errore
kiss,bacio
court,Tribunale
building,costruzione
finish,finire
during,durante
age,età
ship,nave
caught,catturato
marry,sposare
meant,significava
sell,vendere
dark,scuro
watching,Guardando
system,sistema
suppose,Supponiamo
evidence,evidenza
movie,film
ride,cavalcata
t,t
completely,completamente
mouth,bocca
totally,totalmente
birthday,compleanno
tv,tv
forgive,perdonare
born,nato
imagine,immaginare
information,informazione
instead,Invece
definitely,decisamente
security,sicurezza
certainly,di certo
film,film
month,mese
lying,giacente
unless,a meno che
train,treno
seven,Sette
wear,indossare
clothes,Abiti
michael,Michael
hotel,Hotel
christmas,Natale
attack,attacco
hasn,Hasn
round,il giro
expect,aspettarsi
sing,cantare
terrible,terribile
george,Giorgio
bag,borsa
history,storia
blue,blu
near,vicino
broke,rotto
station,stazione
seriously,sul serio
forever,per sempre
david,David
frank,Franco
except,tranne
thinks,pensa
message,Messaggio
entire,tutto
joe,Joe
table,tavolo
talked,parlato
across,attraverso
rock,roccia
lovely,bello
handle,maneggiare
middle,mezzo
buddy,compagno
paid,pagato
protect,proteggere
using,usando
floor,pavimento
ran,corso
swear,imprecare
spend,Spendere
situation,situazione
ring,squillo
anywhere,dovunque
dangerous,pericoloso
bill,conto
york,York
army,esercito
lead,piombo
bought,comprato
finished,finito
fair,giusto
sun,sole
letter,lettera
fool,stolto
attention,Attenzione
club,club
simple,semplice
interesting,interessante
space,spazio
test,test
box,scatola
group,gruppo
single,separare
sitting,seduta
marriage,matrimonio
join,partecipare
fear,paura
d,d
peace,pace
forgot,dimenticato
force,forza
short,breve
normal,normale
charlie,Charlie
present,presente
enjoy,divertiti
mike,Mike
crime,crimine
horse,cavallo
ground,terra
american,americano
count,contare
area,la zona
charge,carica
honor,onore
lunch,il pranzo
miles,miglia
radio,Radio
idiot,idiota
ball,sfera
surprise,sorpresa
paper,carta
key,chiave
boat,barca
quickly,velocemente
gold,oro
bar,sbarra
fish,pesce
mark,marchio
tom,Tom
wearing,logorante
crying,pianto
accident,incidente
government,governo
eight,otto
fell,caduto
cover,copertina
certain,certo
interested,interessato
deep,profondo
star,stella
sea,mare
agree,essere d'accordo
problems,i problemi
detective,detective
prison,prigione
major,maggiore
stick,bastone
offer,offerta
difficult,difficile
smart,inteligente
personal,personale
record,disco
stopped,fermato
hide,nascondere
whether,se
bank,banca
trip,viaggio
relax,relax
america,America
public,pubblico
list,elenco
afternoon,pomeriggio
brain,cervello
fix,aggiustare
bastard,bastardo
proud,orgoglioso
tea,Tè
service,servizio
screaming,urlando
forward,inoltrare
angry,arrabbiato
park,parco
soul,anima
fighting,battagliero
peter,Peter
rich,ricco
agent,agente
blow,soffio
paul,Paolo
dress,vestire
mary,Maria
missed,perse
scene,scena
killing,omicidio
standing,in piedi
saved,salvato
mm,mm
respect,rispetto
killer,uccisore
ice,Ghiaccio
mess,disordine
tough,difficile
feels,sente
church,Chiesa
sad,triste
cell,cellula
drunk,ubriaco
share,Condividere
camera,telecamera
mm-hmm,mm-hmm
within,entro
card,carta
fly,volare
ben,ben
girlfriend,fidanzata
laugh,ridere
smell,odore
broken,rotte
mum,mamma
honest,onesto
often,spesso
starting,di partenza
calls,chiamate
y,y
spent,speso
third,Terzo
english,inglese
visit,visita
mama,mamma
judge,giudice
window,finestra
hungry,Affamato
dare,Osa
relationship,relazione
moved,mosso
prove,dimostrare
private,privato
wall,parete
seat,posto a sedere
i-i,i-i
position,posizione
lieutenant,tenente
realize,rendersi conto
lt,lt
especially,specialmente
machine,macchina
walking,a passeggio
art,arte
pleasure,piacere
